"Day of year","Hour","length_in_meters","AvenidaCentral","AvenidaLiberdade","RuaDeCaires","Bosch","week_or_not"
313,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
313,23,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,0,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,1,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,2,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,3,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,4,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,5,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,6,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,7,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,8,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,9,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,10,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,11,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,12,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,14,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,15,613.6666666666666,4245.127327554443,4192.263817611254,3881.0926784837234,3575.6468752371793,0
314,16,613.6666666666666,4245.127327554443,4192.263817611254,3881.0926784837234,3575.6468752371793,0
314,17,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,18,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,19,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,20,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
314,23,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,0
315,0,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,1,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,2,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,3,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,4,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,5,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,6,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,7,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,8,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
315,9,610.3333333333333,5363.214723152144,4995.032211968747,4986.602553503598,4410.877367375829,1
315,10,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,1
315,11,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,12,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,13,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,14,559.8,4986.852020912605,4765.316244901716,4321.315763493754,3708.5207465165595,1
315,15,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,1
315,16,602,5367.970373427053,5000.855554335712,4991.048908781982,4415.7975394955,1
315,17,559.8,4986.852020912605,4765.316244901716,4321.315763493754,3708.5207465165595,1
315,18,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
315,19,564.8,4983.998630747661,4761.822239481537,4318.647950326724,3705.5686432447574,1
315,20,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,21,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
315,22,848,3905.0329983814568,3752.776891332321,5009.845944328347,5431.729511615244,1
